Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
DC_2019_trim_R2	1953493	2119236	2786219	4132123	1922760	3330511	3384033	1741194	2800808	3450098	951004	567039	242975	311047	227654	153775	181817	126792	118404	213986	419971	107450	74571	87828	48230	35305	49072	439555	46,16997103
DC_3007_trim_R1	1741436	2384079	2897360	2758596	1319945	2060801	2236287	1129772	1190941	2727548	637125	404517	140649	228716	116967	101641	138214	76772	69703	126696	384284	66022	46957	52205	38770	26939	63259	290684	43,91808482
DC_3007_trim_R2	1743296	2087024	2861158	3031644	1320668	2058428	2232882	1126172	1190076	2731719	636516	405691	159551	247397	150180	104976	120455	76617	70950	127488	384622	66751	47086	51645	38952	27029	63781	294131	44,19374162
DC_3024_trim_R1	1609628	1823010	2518253	2253060	1333781	2796931	2805708	1429322	3071721	3384780	1010216	663359	202671	367635	161720	99131	182932	120897	105718	211535	541474	109142	90140	71097	66968	38907	81798	717690	49,96770021
DC_3024_trim_R2	1588684	1389144	2487648	2651333	1332333	2793332	2803245	1424929	3069735	3389129	1010724	663170	223913	387726	194177	114528	180938	122041	107140	212320	542139	110153	90434	70687	67697	38402	81965	721558	50,33215134
DC_3028_trim_R1	1598397	1780774	2065110	2085063	1110817	1927312	2693852	1000938	1346269	2763578	504376	301576	169316	187123	95144	63727	103552	63665	51472	116604	213400	51724	44265	38944	23855	19024	24306	182689	44,06135865
DC_3028_trim_R2	1592571	1479573	2036882	2359187	1109691	1924161	2691493	997180	1345489	2767812	504169	302450	188032	206857	121854	69051	94623	63822	52354	117106	213495	52306	44454	38526	24117	18993	24363	186261	44,39482269
DC_3030_trim_R1	1552524	1981349	2555344	2626261	1325432	2268230	2300583	1002050	2110785	2038501	577806	358766	129422	165503	90624	64011	91321	62072	60416	117658	233189	52132	46540	41187	29648	24507	25822	294044	43,53139405
DC_3030_trim_R2	1558356	1662069	2495780	2906816	1324391	2265812	2298832	999624	2109808	2041084	577942	359035	147806	187305	130504	78508	88833	62176	61314	118356	233428	52586	46591	40992	29838	24439	26219	297283	43,92779188
DC_3031_trim_R1	1613196	2170484	2515234	2703455	1697910	2558313	3145382	1819437	1743743	3736731	944928	630759	201930	354207	138383	112884	167821	118266	83377	153790	480407	68276	57922	65006	49703	34965	55298	427609	47,15677808
DC_3031_trim_R2	1613758	1957405	2470471	2885092	1694605	2555283	3142574	1814490	1742547	3742212	944776	631838	219936	376910	170486	124356	160697	118462	84603	154566	480654	68941	58240	64665	50255	34540	55390	431664	47,40885159
DC_3042_trim_R1	1038719	1425507	2014416	2110458	1297582	2808889	3298754	1703719	2600845	3698510	1313542	841408	354646	463471	265354	227846	329736	239988	258856	451636	760659	239442	129367	171999	130528	99736	129855	1735623	58,4855729
