Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CV_GBM_C036_trim_R2	97.85788210660904	56.0	49.29791785536705	42	45.45454545454545	27.812237
CV_GBM_C039_trim_R1	98.10979909610896	57.0	36.824695665151346	32	45.45454545454545	11.752844
CV_GBM_C039_trim_R2	97.87302765252086	57.0	37.43491026512391	32	45.45454545454545	11.752844
CV_GBM_C049_trim_R1	98.65261897799617	58.0	42.05624924050829	32	45.45454545454545	20.136823
CV_GBM_C049_trim_R2	98.3921014779267	57.0	42.5680788374611	32	45.45454545454545	20.136823
CV_GBM_C050_trim_R1	97.7290502222007	58.0	41.085096365427226	32	45.45454545454545	26.174273
CV_GBM_C050_trim_R2	97.39989089844597	58.0	41.67824707108389	32	45.45454545454545	26.174273
DC_1023_trim_R1	98.70682580454316	58.0	47.02033102858114	42	45.45454545454545	20.370808999999998
DC_1023_trim_R2	98.37923692237658	58.0	47.38055371291342	42	45.45454545454545	20.370808999999998
DC_1027_trim_R1	98.92577524649685	59.0	45.67993379800578	42	45.45454545454545	23.610467
DC_1027_trim_R2	98.60135904806418	59.0	46.007980422411805	42	45.45454545454545	23.610467
DC_1030_trim_R1	98.65869407717689	59.0	46.44934386022644	42	45.45454545454545	25.441378
DC_1030_trim_R2	98.33852236134322	58.0	46.827226929296046	42	45.45454545454545	25.441378
DC_1032_trim_R1	98.46880494078633	58.0	54.21610435781988	47	45.45454545454545	23.976622
DC_1032_trim_R2	98.13189909590167	58.0	54.55459816232662	47	45.45454545454545	23.976622
DC_1037_trim_R1	98.38905114813807	58.0	50.60814106037952	47	45.45454545454545	17.212856
DC_1037_trim_R2	98.04951604676661	58.0	50.98534371634783	47	45.45454545454545	17.212856
DC_2011_trim_R1	98.52733843916926	59.0	44.77824718717713	42	45.45454545454545	22.15479
DC_2011_trim_R2	98.21448175332894	59.0	45.20894928365378	42	45.45454545454545	22.15479
DC_2012_trim_R1	98.20690462852163	59.0	58.37491139617095	52	45.45454545454545	29.370908999999997
DC_2012_trim_R2	97.85931640458402	59.0	58.76196308735286	52	45.45454545454545	29.370908999999997
DC_2014_trim_R1	98.49203888637948	58.0	39.74348381440931	37	45.45454545454545	26.706038
DC_2014_trim_R2	98.37473914739954	58.0	39.76036291867779	37	45.45454545454545	26.706038
